id,sentence,difficulty
3549,"Ceci pourrait donner lieu à des jeux interactifs, qui sont un excellent moyen de mémorisation.",C2
3550,"Et cette joie ancienne m'apportant la connaissance de ma présente misère, une route bossuée qui pique une tête dans un creux où elle éparpille quelque cases ; une route infatigable qui charge à fond de train un morne en haut duquel elle s'enlise brutalement dans une mare de maisons pataudes, une route follement montant, témérairement descendante, et la carcasse de bois comiquement juchée sur de minuscules pattes de ciment que j'appelle ""notre maison"", sa coiffure de tôle ondulant au soleil comme un peau qui sèche, la salle à manger, le plancher grossier où luisent de têtes de clous, les solives de sapin et d'ombre qui courent au plafond, les chaises de paille fantomales, la lumière grise de la lampe, celle vernissée et rapide des cancrelats qui bourdonne à faire mal .",C2
3551,Elle ne travaille pas,A1
3552,C'était très intéressant,A2
3553,"Ils s'engouffraient dans les sentiers, puis se ruaient sur les arbres et tiraient sur leurs branches.",B2
3554,"Même si on adore un livre, il faut, je pense, accepter que certains passages du livre soient coupés ou modifiés, car le travail d'écriture est complètement différent du travail d'adaptation cinématographique.",B2
3555,"La société SpaceX conçoit, construit et commercialise les lanceurs Falcon 9, les moteurs Merlin qui les propulsent ainsi que le vaisseau cargo Dragon et sa version habitée, le Crew Dragon.",C1
3556,Des parents qui n'arrivent pas à exercer pleinement leur autorité.,B1
3557,"Selon l'auteur, les tests actuels encouragent les élèves à développer une pensée personnelle.",B2
3558,"Il en résulte alors des conséquences désastreuses pour certaines espèces ; pour le cerf, on parle d'une malformation de la mâchoire, d'une masse corporelle limitée, d'organes sous-dimensionnés et d'une vie sexuée réduite.",C1
3559,"Et il faut construire les marionnettes, faire les costumes, faire les décors, faire la mise en scène, faire les enregistrements.",A2
3560,"Chez les gros utilisateurs, cette communication comblerait un ""vide existentiel"" et contrecarrerait une vie sociale ""réelle"" insatisfaisante.",C2
3561,"Parfois, cette épreuve se passe mal, entre autonomie et dépendance, entre succès et échecs.",B2
3562,"En plus de son rôle, si important pour la recherche en génétique et en biologie moléculaire, de ""pourvoyeur"" de quantité illimitée d'ADN à partir d'un infime échantillon, la PCR s'avérera un outil indispensable notamment au diagnostic de plusieurs maladies et à la génétique forensique.",C2
3563,"Elle génère donc un espace où se manifestent des modes d'expression très divers, en fonction des projets de séances qui présentent plus ou moins d'improvisation ou de mise en forme ainsi qu'en fonction de la variabilité et de la composition des groupes.",C2
3564,"Cependant dans certains cas, les exploitants veulent rentabiliser leur concession au maximum et dans des délais beaucoup trop courts d'un point de vue écologique.",B2
3565,On mange à 20 Heures ou plus tard,A1
3566,"Laurine courait maintenant, s'abandonnait tout à fait au plaisir de ce jeu nouveau et, la figure rose, elle se précipitait d'un grand élan d'enfant ravie, à chacune des fuites, à chacune des ruses, à chacune des feintes de son compagnon.",C2
3567,"Catherine Nave-Bekhti, secrétaire générale du Sgen-CFDT , juge cette nouvelle interdiction inutile.",B2
3568,Eviter d'importer de l'inflation et surtout contrôler le niveau de change du franc suisse par rapport aux grandes devises internationales et notamment face à l'euro et au dollar.,C1
3569,"Quoique brève, notre entrevue a été productive.",B2
3570,Il y a essentiellement trois grandes catégories.,B2
3571,Il a les yeux marron.,A1
3572,Je suis allé la voir dès que j'ai appris qu'elle avait des problèmes.,B1
3573,"Le matin où, à la suite d'une orgie, il se trouva décidément volé, il acheta deux beaux chevaux, prit pour domestique un ancien soldat palefrenier du maquignon, et, dans son mépris pour les jeunes Parisiens beaux parleurs, partit pour l'armée.",C1
3574,Nous devons nous envisager autant comme citoyens du monde que comme héritiers d'une vieille nation.,C2
3575,Elle a 21 ans,A1
3576,"De plus, ce dernier doit apprendre à bien tenir son chien pour permettre à l'animal de bien le conduire.",B1
3577,Conservation ou exploitation ?,B2
3578,"En entendant la porte d'entrée s'ouvrir, elle leva les yeux de l'ordinateur et aperçut son mari.",B1
3579,"Les industriels ont entrepris des recherches pour améliorer les procédés de fabrication, les rendre moins énergivores et limiter les déchets à la source, mais la question des matériaux déjà existants se pose aujourd'hui, bien que les besoins ne soient pas immédiats.",C2
3580,Je suis né à Toronto.,A1
3581,"Dans cette série TV (connue pour inspirer les geeks de tout âge et toute nationalité), le holodeck est une espèce de salle de jeu capable de matérialiser n'importe quel environnement, apparemment sans nécessiter aucune interface particulière.",C1
3582,J'ai détesté la littérature à l'école en plus de ça,A2
3583,"De plus, certaines limitations sont également apparues, en termes de puissance ou bien de permis de conduire.",B2
3584,J'habite à Paris.,A1
3585,Je suis papa.,A1
3586,Le bulletin de notes du gouvernement a piètre allure.,B2
3587,J'aime beaucoup cette exposition.,A1
3588,"Toutes ses velléités de dénigrement s'évanouissaient sous la poésie du rôle qui l'envahissait, et, entraînée vers l'homme par l'illusion du personnage, elle tâcha de se figurer sa vie, cette vie rétentissante, extraordinaire, splendide, et qu'elle aurait pu mener cependant, si le hasard l'avait voulu.",C2
3589,Gros bisous et merci beaucoup pour cette nouvelle histoire.,A2
3590,"Suite à une série de retards, cet employé a été mis à pied pour une durée indertéminée",C2
3591,"Ils vont habiter tous les deux dans un joli appartement, à Paris.",A2
3592,"Aussitôt que vous eûtes résolu ce problème, vous partîtes.",C2
3593,Le public n'a pas reconnu son talent.,A2
3594,Et la grande personne était bien contente de connaître un homme aussi raisonnable.,B1
3595,Mais il y a un problème .,A1
3596,"""Malheureusement, on voit souvent la capacité à parler anglais comme une force, mais pas forcément d'autres langues, regrette Madame.",B1
3597,Les linguistes estiment qu'un idiome ne peut survivre qu'à condition de compter au moins 100 000 locuteurs.,C1
3598,Les éternels affrontements entre ceux qui militent pour la protection inconditionnelle de sanctuaires naturels et ceux qui défendent les intérêts économiques des compagnies forestières semblent même passés de mode.,B2
3599,"Occasionnellement, Kassák ment sur ses intentions, sa profession ou sa confession ; il se dit ainsi juif pour bénéficier d'une caisse d'entraide juive (autre réseau élaboré à l'échelle européenne) et manque de se faire démasquer lorsqu'il tient son livre de prières à l'envers ou peine à retenir les quelques lignes de prière apprises phonétiquement.",C2
3600,"C'est peut-être une petite soeur, un gentil chat comme moi .",A1
3601,"Au-delà de la pression réglementaire, les entreprises qui s'engagent dans le recyclage des déchets professionnels s'inquiètent de la diminution des matières premières qui entrent dans la composition de ces appareils : des métaux rares, du cuivre, du fer.",B2
3602,"Ils permirent ainsi, pour le meilleur et pour le pire, cette ""grande transformation"" qui multiplia les productions et autorisa l'augmentation colossale de l'espèce humaine.",C2
3603,C'est vraiment dommage que les gens ne fasse pas attention à ce qu'ils consomment,B1
3604,"Nous parlons français lorsque nous sommes dehors, à l'école ou au marché",A1
3605,Ils rentrèrent au pays après qu'ils eurent vécu en Europe,C2
3606,Ils n'ont tout simplement aucune classe.,B1
3607,"C'est à la fin du XIXe siècle que les scientifiques commencent à s'intéresser, de manière raisonnée , aux capacités intellectuelles des hommes et des femmes.",B2
3608,"En me levant ce matin, j'avais très mal à la tête.",B1
3609,J'adore l'odeur du napalm au petit matin.,B2
3610,"Comme un rappel du massacre des quelque 60 millions de bisons orchestré à la fin du XIXe siècle pour venir à bout des ""PeauxRouges"".",C1
3611,"TED, ce sont des conférences au cours desquelles les intervenants doivent parler pendant 20 minutes sans notes.",B2
3612,"Déplorant que le Sénat ait préféré, au contraire, en rester aux dispositions initiales du projet de loi, il a conclu en constatant qu'il semblait, dans ces conditions, difficile de trouver une conciliation permettant d'aboutir à un accord en commission mixte paritaire.",C2
3613,"À cette occasion, les parents cachent des oeufs en chocolat dans la maison et le jardin, et les enfants s'amusent à les chercher.",A2
3614,On a droit à tout sauf à la qualité.,B1
3615,Tout est prêt.,A1
3616,Ma contrainte avec lui eut une grande influence sur mon caractère.,B2
3617,"En Allemagne, l'université de Potsdam donne aux réfugiés qui ont été enseignants dans leur pays d'origine, la possibilité de devenir assistants puis professeurs dans les écoles allemandes qui manquent d'enseignants.",B2
3618,"Tout le chapelet de sociétés effectivement connectées, dont l'Antiquité méditerranéenne puis l'Europe médiévale ne formaient que l'extrémité occidentale, ne peut plus apparaître uniquement comme un ensemble d'anciennes civilisations plus ou moins rétives à la modernité, objets de l'orientalisme.",C2
3619,C'est dans cette voie - ouverte entre la timidité aristotélicienne et l'audace insensée des alchimistes - qu'allait passer toute la science de l'avenir.,C2
3620,"Malgré les progrès accomplis, la situation alimentaire mondiale reste donc préoccupante, surtout si on la met en relation avec les données démographiques.",C1
3621,"Comme sa valise est trop petite, il demande à Hélène si elle veut toujours bien lui en prêter une : il peut venir la chercher chez elle puisqu'ils n'habitent pas loin l'un de l'autre.",A2
3622,"La vapeur se contournait en spirales autour des groupes de palmiers, entre lesquels apparaissaient de pittoresques bungalows.",B2
3623,"Le jardin est long et étroit, il y a une balançoire au fond et un barbecue, proche de la terrasse, sur laquelle est posée un transat",B1
3624,"Le bus est certes très pratique, mais très dépendant de la qualité du trafic.",B2
3625,"Notre charrette avait franchi le sommet d'un autre monticule ; en face de nous s'étalait l'immense étendue de la lande, semée de rocs et de rochers.",C1
3626,J'ajoute que vous êtes aussi fondatrice d'une association : Inversons la classe.,C2
3627,Il faut bien faire attention à ses vêtements et à sa coiffure,A2
3628,"Ne trouves-tu pas que ces vieux murs noircis, symboles maintenant et autrefois moyens du despotisme, sont une véritable image du triste hiver ?",C1
3629,"Parallèlement à l'urbanisation et à la déchristianisation de la société française, le septième jour, libéré de ces contraintes, est entré dans l'ère du temps libre.",C2
3630,Je suis vraiment content que tu aies pu venir.,A2
3631,"L'ordre de grandeur pour le moment, par exemple pour l'Afrique est environ 350 milliards d'euros de dette à l'égard de ses créanciers.",B2
3632,"Il s'est également arrêté dans une boulangerie où il a longuement hésité entre un pain au chocolat, un croissant, et une brioche aux pralines, pâtisserie typiquement lyonnaise",B2
3633,C'est une excellente idée !,B1
3634,Ellénore gardait le silence.,B2
3635,Il interroge surtout la prétendue affinité élective de celle-ci avec le seul monothéisme.,C1
3636,Je me suis creusé la tête sans relache durant des heures pour résoudre ce casse-tête chinois.,C1
3637,"Dans le désert, tous les hommes n'ont pas la peau noire.",B1
3638,"A cette occasion, les enfants offrent des cadeaux à leur mère mais aussi de jolis oeillets.",B1
3639,"À partir de récits de vie, elles dissèquent les motivations des candidats à la reconversion professionnelle.",C1
3640,J'ai mangé un hamburger et des frites.,A1
3641,Ce petit nombre est notamment dû à ses expérimentations constantes et parfois désastreuses de nouvelles techniques.,C1
3642,"J'ai ensuite beaucoup pratiqué, grâce à mon addiction à internet",C2
3643,"Je passai quelques heures à ses pieds, me proclamant le plus heureux des hommes, lui prodiguant mille assurances de tendresse, de dévouement et de respect éternel.",C2
3644,Il est alors témoin d'un spectacle étonnant.,A2
3645,"Les enfants grands sont maudits par les dieux, c'est le vieux Zahor qui l'a dit.",B1
3646,Est-ce qu'il y a des devoirs?,A1
3647,Qu'est-ce que vous faites le samedi et le dimanche ?,A1
3648,"Globalement, presque une personne sur cinq (18, 9%) vit dans un ménage avec au moins un type d'arriéré de paiement et 10, 0% avec au moins deux types d'arriérés de paiement, le pourcentage de la population avec un ou deux types d'arriérés de paiement dimunant avec l'âge, le niveau de formation et les revenus.",C1
3649,"Ils avaient auparavant reçu une lettre d'une veuve qui, après avoir consacré sa vie à élever seule ses enfants, ne recevait leurs visites qu'en de très rares occasions.",B2
3650,"Je fais mon lit tous les jours, bien sûr; et je fais souvent la vaisselle.",A2
3651,Il n'y a presque pas de pollution,B1
3652,s'écriait-elle en saisissant les mains de Fabrice.,B2
3653,"Serveur : une table pour quatre, n'est-ce pas ?",A2
3654,"Pour éviter un oubli, vous pouvez consulter le ""Guide des formalités"" en ligne.",B2
3655,"Un jour qu'il était venu nous voir à Paris après dîner en s'excusant d'être en habit, Françoise ayant, après son départ, dit tenir du cocher qu'il avait dîné ""chez une princesse"", - ""Oui, chez une princesse du demi-monde !"" avait répondu ma tante en haussant les épaules sans lever les yeux de sur son tricot, avec une ironie sereine.",C2
3656,"S'il fait beau, l'après-midi vous pouvez aller au jardin du Luxembourg et, le soir vous pouvez faire un tour en bateau jusqu'à la Tour Eiffel.",A1
3657,Elle a beaucoup de mal à avancer dans la neige.,A2
3658,"Le récit s'ordonne par l'accumulation de saynètes, procédé qui donne une tonalité picaresque au parcours, mais qui participe aussi à ancrer les souvenirs d'une mobilité dans des lieux, ne seraient-ils que de passage.",C2
3659,"Au village, il y a les pour et les contre.",B1
3660,L'employeur a en effet déjà obligation de prendre en charge la moitié de l'abonnement aux transports en commun de ses salariés.,B2
3661,Elle a 84 ans et elle habite à Antibes,A1
3662,Les femmes sont sous-représentées dans le domaine des sciences.,B2
3663,"Bonjour, je vous appelle au sujet de mon imprimante photo.",A1
3664,""" à ses proches",A2
3665,"Il ne change pas facilement d'avis, il est têtu.",B1
3666,Le rythme d'extinction des langues a ainsi atteint des proportions sans précédent dans l'histoire : 10 par an à l'échelle mondiale.,C1
3667,"Plusieurs études ont démontré que l'écobilan des modules photovoltaïques (énergie grise. Émission du gaz à effet de serre.) est relativement positif, comparé à d'autres filières de production d'énergie.",C2
3668,Ce dépassement rétroactif de la Renaissance européenne a pour conséquence l'abandon du modèle évolutionniste linéaire tel que l'Europe des Lumières puis le positivisme du XIXe siècle l'avaient formalisé.,C2
3669,"Clara a bu de l'eau, son frère a bu un verre de vin",A1
3670,"Il y a une ruée vers : ""devenons un peu plus indépendants, moins dépendants des magasins, de l'importation, des grandes surfaces"", donc une espèce de retour au savoir-faire artisan, un peu de nos ancêtres, de nos parents, de nos grands-parents.",B2
3671,Il s'agit d'un projet pour la paix de notre temps.,B1
3672,"Tout comme les comportements des animaux sont déterminés par l'instinct, leur environnement ou des déterminations biologiques, les actes et les pensées des hommes le sont eux-mêmes par de multiples facteurs à la fois internes et externes dont on ignore le plus souvent l'existence et la puissance : facteurs d'origine physiologiques, psychologiques, sociales, etc",C2
3673,"Voilà le chemin à suivre, finissons-en avec ce décalage inacceptable entre la cuisine d'en haut (consommée par une minorité) et la cuisine d'en bas, celle de la majorité silencieuse, débordante et insipide.",C1
3674,"S'ils vont au cinéma pour l'avant-première, ils verront le dernier film de ce réalisateur de notoriété internationale.",B2
3675,"Vous pouvez expliquer encore une fois, s'il vous plaît ?",A1
3676,Il y a eu trois expéditions.,B1
3677,Les Inuits attendent seulement d'elle une déclaration politique.,C1
3678,"""On pensait autrefois que si les régimes alimentaires étaient suffisamment énergétiques, les micronutriments suivraient"", explique ainsi Barbara Burlingame, fonctionnaire principale de la FAO.",C1
3679,"Considéré dès sa naissance comme un fils à part entière par son père, il ne fut cependant jamais légitimé.",C2
3680,"Nous sommes en 1915, à Vitebsk, la ville natale de Marc Chagall.",B2
3681,"Un présage connu rapporte qu'un milan venu du ciel aurait fait un vol stationnaire au-dessus de son berceau, la queue de l'oiseau le touchant au visage.",C2
3682,"Cet héritage s'est d'ailleurs vite révélé hétérogène : les pays pauvres d'Asie orientale, les plus éloignés des anciennes métropoles, ""émergent"" à des degrés divers dans l'économie mondiale dès les années 1970-1980.",C2
3683,"Trop se spécialiser dans un environnement qui change sans cesse, c'est comme rouler vite avec des oeillères.",C2
3684,"Merci Madame, biologiste, vous avez fondé le site, l'association Inversons la classe.",C1
3685,"Je crois qu'en cinquante ans d'amitié on ne s'est pas disputées une fois, on a eu des petits mots de temps en temps mais jamais on s'est fait la tête, jamais on n'est restées sans se parler, jamais, jamais, jamais.",A1
3686,Plusieurs milliers de classes ont participé à ce projet.,C2
3687,"Bref, première leçon, le québécois n'est pas un français déformé mais plutôt un français historique, proche de celui qui était parlé en France avant le 17e siècle",C1
3688,"L'extrémité supérieure de la corde est attachée à une planchette doublée de liège, et une branche de coudrier très flexible, fichée sur cette planchette, soutient une petite sonnette qui tinte lorsque le poisson, pris à la ligne, donne des secousses à la corde.",C1
3689,"Et c'était pas forcément une image qui me plaisait, comme j'avais l'occasion de pouvoir les changer, j'ai voulu le faire",B1
3690,"Une semaine au calme, ça procure un vrai plaisir.",B1
3691,Il faut aussi poser des questions sur le travail et les horaires de l'entreprise,A2
3692,Je recherche une personne pour garder mes enfants de 1 et 7 ans.,A1
3693,Je vais prendre ma douche dans ma salle-de-bain.,A1
3694,Êtes-vous prêts à découvrir cette histoire de Noël ?,A2
3695,"Il passa contre nous, ne s'interrompit pas de parler à sa voisine, et nous fit du coin de son oeil bleu un petit signe en quelque sorte intérieur aux paupières et qui, n'intéressant pas les muscles de son visage, put passer parfaitement inaperçu de son interlocutrice ; mais, cherchant à compenser par l'intensité du sentiment le champ un peu étroit où il en circonscrivait l'expression, dans ce coin d'azur qui nous était affecté il fit pétiller tout l'entrain de la bonne grâce qui dépassa l'enjouement, frisa la malice ; il subtilisa les finesses de l'amabilité jusqu'aux clignements de la connivence, aux demi-mots, aux sousentendus, aux mystères de la complicité ; et finalement exalta les assurances d'amitié jusqu'aux protestations de tendresse, jusqu'à la déclaration d'amour, illuminant alors pour nous seuls, d'une langueur secrète et invisible à la châtelaine, une prunelle énamourée dans un visage de glace.",C2
3696,Il ne reste donc plus qu'à attendre.,A2
3697,L'objectif est de résuire les risques sanitaires et de diminuer les nuisances sur l'espace public,B2
3698,La plateforme mettra à disposition l'ensemble de son catalogue musical et dit vouloir collaborer avec des acteurs locaux pour pouvoir élargir son offre de musique issue du marché concerné.,B2
3699,"Nicolas va se marier, pour la deuxième fois.",A1
3700,"Également noble de visage et de corps, dans l'action comme au repos, plein de grâce et de puissance mesurée, il gardait au milieu de l'effort le souci inconscient des pures attitudes, et les moindres de ses gestes paraissaient des bienfaits.",B2
3701,"Le beau monsieur, qui était magicien, le força alors à le conduire à la montagne, et à ouvrir le rocher en le touchant avec l'herbe merveilleuse.",B1
3702,Son grand chapeau à l'espagnole tomba dans un geste qu'il fit ; et aussitôt les instruments et les chanteurs entonnèrent le sextuor.,C2
3703,"Du fond de la ténèbre verte, toute criblée de gouttes de lumière, une petite forme humaine, pelotonnée dans son élan, déboula comme un lièvre.",C2
3704,Forestier riait beaucoup de l'aventure ; les deux femmes déclaraient que le bavard indiscret n'était qu'un goujat et qu'un lâche.,C2
3705,Il travaille en ville.,A1
3706,"En juillet, ma famille et moi irons dans le Sud de la France.",B1
3707,Je vais revenir avec les enfants la semaine prochaine.,A1
3708,"La recomposition conjugale après 50 ans est en forte progression, précise Vincent Caradec, professeur de sociologie à l'université de Lille III (Vieillir après la retraite, PUF).",C1
3709,"Ils sont trop mignons Mon préféré est noir et blanc, et il s'appelle",A2
3710,Cette situation est d'autant plus préoccupante que la part de création de valeur des entreprises issue de la valorisation de ces actifs intellectuels est jugée par certains comme dépassant actuellement celle générée par les actifs matériels,C2
3711,"À gauche, c'est ma salle de bain, avec vue sur mon jardin.",A2
3712,"Et après, on peut prendre un bain dans la piscine, l'eau est bonne !",A1
3713,"""Or, une forte exposition médiatique d'un événement sportif, qui plus est lorsqu'elle est associée à de bonnes performances de la part des sportifs (en particulier français), est susceptible de générer un engouement pour la pratique sportive"", explique l'Insee.",C1
3714,"Par-delà ces collines, dont le faîte offre des ermitages qu'on voudrait tous habiter, l'oeil étonné aperçoit les pics des Alpes, toujours couverts de neige, et leur austérité sévère lui rappelle des malheurs de la vie ce qu'il en faut pour accroître la volupté présente.",C1
3715,"En gros, je n'ai rien contre les uniformes.",B1
3716,Ma maison est grande,A1
3717,Je vous coupe les cheveux.,A1
3718,L'homme avait l'intention de sortir sa femme du trou.,B1
3719,Un technicien fait le nécessaire et vous rappelle dans une heure environ.,A1
3720,Elle avait besoin de passer un instant seule.,A2
3721,"Or une telle vie, guidée par des désirs multiples, polymorphes et surtout infinis, mène nécessairement au tourment et au malheur",C2
3722,"En 1902, pour éviter l'extinction, le parc national de Yellowstone (Wyoming) prend en charge vingt et un bisons : ils deviennent la première espèce animale protégée.",C1
3723,"Le prince Charles, 56 ans, et sa compagne, Camilla Parker-Bowles, 57 ans, ne s'apprêtent-ils pas à convoler, enfin?",C1
3724,Je ne pourrai pas venir demain.,A2
3725,Avoir un chien est un vrai bonheur mais encore faut-il s'en occuper correctement.,B1
3726,Cerveau et seau de plage jouent-ils les vases communicants ?,C2
3727,Que restera-t-il à la rentrée des acquis de l'année scolaire ?,C2
3728,Envoie-moi un mot pour confirmer votre présence.,A1
3729,Le cabotin diplomate avait même soin de faire toujours glisser dans les réclames une phrase poétique sur la fascination de sa personne et la sensibilité de son âme.,C2
3730,Nous nageons dans la piscine.,A1
3731,"La couverture du bouquin était couleur bleu turquoise, je l'ai adorée dès que je l'ai vue.",B1
3732,"De Buren exprime ces différents points de vue sur la ressource à travers une triple définition du concept : la ressource institutionnelle, telle qu'elle perçut au travers des règles qui encadrent ses usages, la ressource physique perçue au travers des fonctions qu'elle remplit et finalement la ressource sociale, lorsqu'elle est envisagée au travers des relations, qui se nouent entre ses usages.",C2
3733,Ce commandant mena plusieurs batailles épiques grâce à sa bravour et ses tactiques militaires ingénieuses.,C1
3734,"Selon un sondage publié en mai dernier par BVA (société française de sondages) et le Syntec Numérique (fédération professionnelle du secteur informatique) favorable à la mesure, 87 % des Français seraient même d'accord pour que la programmation informatique soient enseignée à l'école.",C1
3735,Je suis devenue très copine avec la fille de 14 ans.,A2
3736,"Le deuxième profil représente les cantons qui ont des instruments de contingentement spatial à l'apparence similaires à ceux du premier groupe, mais qui sont utilisés avec une précision moindre et ouvrant plus facilement la porte à des exceptions et à des modifications des limites des zones constructibles.",C2
3737,"De peur de paraître ridicule, Emma voulut, avant d'entrer, faire un tour de promenade sur le port, et Bovary, par prudence, garda les billets à sa main, dans la poche de son pantalon, qu'il appuyait contre son ventre.",C1
3738,Les appréciations sur le bulletin de notes sont aussi importantes que les moyennes elles-mêmes.,B2
3739,"D'abord, nous voulions dormir à l'hôtel mais finalement Martine, mon amie d'enfance, nous a proposé d'aller chez elle alors nous avons accepté.",B1
3740,"A l'arrière, ils ont un jardin magnifique.",A2
3741,"À mi-parcours, il doit souvent faire demi-tour.",B2
3742,Vous mangeâtes des escargots et des langoustines servis dans un plat garnit de glace pillée afin de conserver le met prestigieux au frais.,C1
3743,La réponse est oui.,A1
3744,Chaque organe doit trouver sa place en fonction de critères différents comme le centre de gravité.,C1
3745,"Le centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou ses collègues de travail",A2
3746,"Elle sourit involontairement de vanité, en voyant la foule qui se précipitait à droite par l'autre corridor, tandis qu'elle montait l'escalier des premières.",C2
3747,Comment est-ce que je me sens ? J'ai peur d'une nouvelle éruption,A2
3748,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
3749,Communiquer et penser dans tant de langages impose à l'individu contemporain d'entrer dans des systèmes et des réseaux qu'il doit comprendre et hiérarchiser.,C2
3750,Les membres sont au nombre de quatre,B1
3751,Quel personnage meurt à la fin de cette histoire ?,B1
3752,Ils ont peint le mur sale de la cuisine.,A2
3753,Le bras est relié au tronc par l'épaule et à l'avant-bras par le coude,B1
3754,On peut faire une classe inversée en restant dans le transmissif.,B1
3755,"Comme Jean-Christophe Deledicq, un informaticien fondateur de la librairie des maths, pour qui ""il y a tellement de manières d'aimer les mathématiques [qu'il propose] de nombreux produits plus ou moins littéraires, plus ou moins ludiques""",C2
3756,"Quand vous disposez de tous vos fichiers numérisés, vous pouvez effectuer la formalité en ligne en remplissant le formulaire interactif que vous validerez en fin de saisie.",B2
3757,Qui est absent ?,A1
3758,"Comme le chrétien qui veut se délivrer du corps, par là même pense sans cesse à son corps, de même ces philosophies, sans cesse en lutte contre l'empirique, sont enchaînées à l'empirique.",C2
3759,"Il apprend ensuite tout ce qui concerne ""la recherche"", c'est-à-dire savoir trouver et identifier les passages piétons, les pistes cyclables et les rues, s'arrêter devant les portes ou les escaliers, savoir éviter les difficultés, monter dans les transports, etc.",B1
3760,"Entre-temps, cette inflation a dopé les interactions et donné une place nouvelle à l'Europe vis-à-vis des autres ensembles sociaux de l'Ancien Monde.",C1
3761,Tu es américain et elle est anglaise.,A1
3762,j'espère vous avoir près de moi pour une jolie fête.,A1
3763,"Quand tu eus appelé à l'aide, ils vinrent nous porter secours",C2
3764,"A cette vie désordonnée, Platon oppose une vie guidée par la raison, incarnée par la sagesse socratique",C2
3765,Elle fit semblant de ne pas l'entendre et continua d'avancer.,B1
3766,"Au moment de payer, notre petit garçon est toujours volontaire.",A2
3767,Un rêve d'enfant réalisé.,A1
3768,"La plate-forme française du commerce équitable (PFCE), réseau des treize principales associations et entreprises françaises, a élaboré sa propre charte.",C1
3769,Rien ne va plus: les primaires du parti socialiste tournent en eau de boudin.,B2
3770,Dites-moi où me cacher.,A2
3771,Il y a beaucoup de pièces,A2
3772,Nous sommes en vacances chez des amis.,A1
3773,"Le chancelier autrichien a annoncé ne plus vouloir dépendre de l'Union européenne pour la production de vaccins et que, avec la Première ministre danoise, il allait engager des discussions avec Israël.",B2
3774,Les changements géographiques apparaissent alors autant comme des causes que des conséquences des dynamiques historiques.,C1
3775,"Il a précisé qu'il n'avait pas prévu de le faire, et il a ajouté qu'il le regrettait.",B1
3776,"Évaluant l'intérêt croissant porté à son récit, l'homme de Barbès sirotait une tasse de thé, étalait son sourire édenté et continuait, d'une voix encore plus vive.",B2
3777,"En allant à la campagne, nous aurions cueilli des petits fruits.",B2
3778,Nous passâmes quelque temps à Arcachon et je fus à l'école communale: les principes démocratiques de mon grand-père l'exigeaient.,C1
3779,C'est un fait inquiétant qu'on constate dans toutes les capitales européennes : les touristes séjournent de plus en plus dans des appartements loués sur des sites internet.,B1
3780,"En analysant les données recueillies lors des épreuves d'évaluation dans le primaire et le secondaire, on constate qu'il n'y a aujourd'hui pas de différences de performances entre filles et garçons.",B2
3781,"C'est pourquoi, il décida de remplacer les habi-tuelles portes automatiques par des portiers en superbe livrée, ce qui donna un caractère très luxueux à cet aéroport.",C2
3782,Il a su se défendre et mentir lorsqu'on lui posait des questions embarassantes.,B1
3783,Nommez-les dans l'ordre.,A1
3784,L'oiseau s'approcha de lui à tout petits pas.,A2
3785,"Loin d'une société oisive, il faut continuer à innover et aider les populations qui risquent de voir leur travail disparaître en les formant à d'autres talents.",C2
3786,Toutes ces fêtes ont le même but : remercier les mamans pour ce qu'elles font toute l'année !,A2
3787,"Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux",A1
3788,"Si quelque petit champ de cinquante pas de large vient interrompre de temps à autre les bouquets de châtaigniers et de cerisiers sauvages, l'oeil satisfait y voit croître des plantes plus vigoureuses et plus heureuses là qu'ailleurs.",C1
3789,"Une heure plus tard, il donne à la tribu une chèvre sauvage qu'il vient de tuer.",A2
3790,"Si vous pouviez rencontrez un artiste, qui est-ce que vous aimeriez rencontrer?",B1
3791,"Sur le fond, il enclenche une politique progressiste",C1
3792,Une maitresse au milieu du bruit des enfants : On va les compter,A2
3793,Elle a 38 ans,A1
3794,"Quand les couches-culottes usagées des maisons de retraite arrivent ici, elles sont jetées dans cette machine.",B2
3795,"Par ailleurs, Elle, qui habite à Paris, nous explique que son quotidien est devenu très difficile en raison des locations saisonnières : ""Les arrivées et départs à n'importe quelle heure de la journée, les fêtes toute la nuit, les groupes de touristes qui envahissent le hall de l'immeuble avec leurs valises. On ne se sent plus chez soi.",B1
3796,Qu'est ce que vous faites dans le parc?,A1
3797,"Sa résistance avait exalté toutes mes sensations, toutes mes idées : je revenais des emportements qui l'effrayaient à une soumission, à une tendresse, à une vénération idolâtre.",C1
